奖励	=总数=25=获得奖项3|股权激励1|政府补贴21|增发1|
 奖励资金	=总数=14=获得奖项3|政府补贴11|
 获得奖励	=总数=10=获得奖项2|政府补贴8|
 政府奖励	=总数=13=获得奖项1|政府补贴12|
 奖励补助	=总数=5=政府补贴5|
 收到奖励	=总数=13=获得奖项1|政府补贴12|
权及	=总数=27=回购4|合同签订1|股份减持2|股权激励18|兼并收购4|
 行权及	=总数=10=回购3|股权激励8|
  激励计划行权及	=总数=6=股权激励6|
 期权及	=总数=46=回购8|股权激励40|
  激励期权及	=总数=5=股权激励5|
  激励计划期权及	=总数=12=股权激励12|
 股权及	=总数=10=回购1|股份减持1|股权激励6|兼并收购2|
  股权及权	=总数=7=股份减持1|股权激励4|兼并收购2|
  股权及某某	=总数=5=股权激励4|诉讼仲裁1|
  部分股权及	=总数=9=质押7|兼并收购2|
  股权及股票	=总数=5=回购1|股权激励4|质押1|
  股权及质押	=总数=39=回购2|质押39|股份增持1|
  收购股权及	=总数=8=股份减持1|高管变动1|专利获取1|兼并收购7|担保事项1|
  控股股权及	=总数=20=回购1|增发1|质押19|
  股权及相关	=总数=6=合同签订1|股份减持2|股权激励2|兼并收购2|
  子公司股权及	=总数=6=股份减持1|增发1|兼并收购2|股份增持2|担保事项1|
  某公司股权及	=总数=17=合同签订1|股份减持7|专利获取1|兼并收购9|
   收购某公司股权及	=总数=5=股份减持1|专利获取1|兼并收购4|
   公司某公司股权及	=总数=5=股份减持3|兼并收购2|
  控股股东股权及	=总数=21=回购1|高管变动1|股份减持1|质押19|
 权及权	=总数=11=股份减持1|股权激励8|兼并收购2|
 某某权及	=总数=6=回购1|合同签订1|股权激励4|兼并收购2|
 公司权及	=总数=6=合同签订1|股份减持1|股权激励3|兼并收购2|
 股权权及	=总数=5=回购1|股权激励2|兼并收购2|
股书	=总数=16=债券发行1|首发5|增发8|兼并收购2|
 公开发行股书	=总数=9=债券发行1|增发8|
授信	=总数=111=未分类15|合同签订4|关联交易5|担保事项91|
 及授信	=总数=6=未分类1|担保事项5|
 授信及	=总数=8=关联交易1|担保事项7|
  授信及担保	=总数=7=担保事项7|
 与授信	=总数=7=合同签订2|担保事项5|
 某地授信	=总数=7=合同签订2|关联交易3|担保事项5|
 下属授信	=总数=6=担保事项6|
 授信担保	=总数=75=关联交易4|担保事项75|
  申请授信担保	=总数=25=担保事项25|
 授信额度担保	=总数=12=担保事项12|
 公司申请授信	=总数=36=未分类3|关联交易1|担保事项32|
  子公司申请授信	=总数=24=未分类1|担保事项23|
   子公司申请授信额度	=总数=5=担保事项5|
   子公司申请授信担保	=总数=13=担保事项13|
   控股子公司申请授信	=总数=5=担保事项5|
   子公司申请授信提供担保	=总数=19=担保事项19|
  某公司申请授信	=总数=11=关联交易1|担保事项10|
   某公司申请授信担保	=总数=8=担保事项8|
   某公司申请授信提供担保	=总数=9=担保事项9|
  公司申请授信担保	=总数=20=担保事项20|
  公司申请授信额度	=总数=9=关联交易1|担保事项8|
   子公司申请授信额度	=总数=5=担保事项5|
 授信提供担保	=总数=59=担保事项59|
 万元授信额度	=总数=5=关联交易1|担保事项4|
 授信额度提供担保	=总数=10=担保事项10|
 公司申请综合授信	=总数=7=未分类1|担保事项6|
  子公司申请综合授信	=总数=5=担保事项5|
 公司银行综合授信	=总数=12=未分类2|担保事项10|
  子公司银行综合授信提供担保	=总数=7=担保事项7|
 子公司向银行申请授信	=总数=6=未分类1|担保事项5|
嘉和	=总数=7=合同签订3|股份减持2|兼并收购1|业绩发布1|股份增持2|
 嘉和股权	=总数=5=合同签订2|股份减持2|兼并收购1|股份增持1|
授予	=总数=228=回购7|未分类3|股权激励218|
 及授予	=总数=31=股权激励31|
 对授予	=总数=5=股权激励5|
 已授予	=总数=21=回购5|股权激励16|
  激励计划已授予期权	=总数=8=股权激励8|
 授予及	=总数=15=回购2|股权激励13|
  股票授予及	=总数=9=股权激励9|
  股票激励计划授予及	=总数=7=股权激励7|
 计划授予	=总数=122=股权激励122|
 授予事项	=总数=75=股权激励75|
 激励授予	=总数=173=回购1|股权激励172|
  向激励授予	=总数=27=股权激励27|
  激励授予事项	=总数=38=股权激励38|
  激励授予激励	=总数=9=股权激励9|
  股票激励授予	=总数=111=股权激励111|
  激励授予名单	=总数=15=股权激励15|
  激励授予预留	=总数=13=股权激励13|
  公司激励授予	=总数=50=股权激励50|
  激励授予期权	=总数=41=股权激励41|
  激励授予数量	=总数=9=股权激励9|
  激励授予相关事项	=总数=25=股权激励25|
  股票期权激励授予	=总数=57=股权激励57|
  激励授予之法律意见书	=总数=6=股权激励6|
 授予名单	=总数=17=股权激励17|
 授予对象	=总数=18=股权激励18|
 授予期权	=总数=49=股权激励49|
 预留授予	=总数=26=股权激励26|
 首次授予	=总数=56=未分类1|股权激励55|
  计划首次授予	=总数=47=股权激励47|
  首次授予事项	=总数=23=股权激励23|
  调整及首次授予	=总数=7=股权激励7|
  首次授予对象名单	=总数=9=股权激励9|
  股票期权首次授予	=总数=34=股权激励34|
  股票激励计划及首次授予	=总数=5=股权激励5|
 调整授予	=总数=16=回购2|股权激励14|
  股票激励计划调整授予	=总数=6=股权激励6|
 授予相关	=总数=45=股权激励45|
 授予完成	=总数=38=回购1|股权激励37|
  股票授予完成	=总数=30=股权激励30|
  激励计划授予完成	=总数=13=股权激励13|
  股票首次授予完成	=总数=7=股权激励7|
  股票期权授予完成	=总数=17=股权激励17|
 激励对象授予	=总数=61=股权激励61|
 授予预留股票	=总数=18=股权激励18|
 授予预留期权	=总数=7=股权激励7|
 授予激励对象名单	=总数=13=股权激励13|
 股票激励计划对象授予	=总数=10=股权激励10|
 股票激励计划所涉授予	=总数=6=股权激励6|
拟持	=总数=95=股份减持60|增发15|资产重组1|兼并收购16|股份增持3|
 拟持有	=总数=64=股份减持37|增发15|兼并收购12|
  某公司拟持有	=总数=18=股份减持17|兼并收购1|
 拟持股份	=总数=13=股份减持10|股份增持3|
 拟持公司	=总数=10=股份减持8|股份增持2|
金属	=总数=6=未分类1|政府补贴2|关联交易3|担保事项2|
 控股金属	=总数=5=政府补贴2|关联交易3|担保事项2|
附属	=总数=7=回购1|关联交易4|资产重组3|业绩发布1|担保事项1|
 及其附属	=总数=6=回购1|关联交易4|资产重组3|业绩发布1|
类型	=总数=11=未分类2|增发2|资产重组5|兼并收购7|
 产业政策和交易类型之独立财务顾问核查意见	=总数=9=增发2|资产重组5|兼并收购7|
法院	=总数=25=未分类1|诉讼仲裁20|资产重组4|
 收到法院	=总数=13=诉讼仲裁11|资产重组2|
  收到法院民事	=总数=8=诉讼仲裁8|
 法院裁定	=总数=5=诉讼仲裁5|
 法院重整	=总数=6=诉讼仲裁5|资产重组1|
 法院批准重整计划	=总数=6=诉讼仲裁4|资产重组2|
 收到某地海事法院	=总数=8=诉讼仲裁6|资产重组2|
  收到某地海事法院民事	=总数=6=诉讼仲裁6|
履约	=总数=11=未分类2|合同签订7|资产重组1|担保事项1|
 履约能力	=总数=7=未分类1|合同签订6|
 合同履约	=总数=7=未分类1|合同签订6|
股发	=总数=55=债券发行4|首发15|未分类1|增发37|
 股发行	=总数=53=债券发行4|首发15|增发36|
  配股发行	=总数=8=配股8|
  公司股发行	=总数=12=债券发行2|增发11|
职工	=总数=232=未分类5|高管变动226|
 职工公告	=总数=24=高管变动23|
 职工选举	=总数=23=高管变动23|
 职工辞职	=总数=15=高管变动15|
 某某职工	=总数=68=高管变动67|
 职工决议	=总数=12=高管变动11|
 选举职工	=总数=141=高管变动141|
 职工董事	=总数=7=高管变动7|
股合	=总数=17=增发9|关联交易6|兼并收购2|
 发行股合	=总数=15=增发9|关联交易6|
 某人股合	=总数=6=增发4|兼并收购2|
创业	=总数=111=首发104|未分类3|增发3|诉讼仲裁1|
 创业及	=总数=11=首发10|诉讼仲裁1|
 创业板	=总数=110=首发104|未分类3|增发3|
  于创业板	=总数=7=首发7|
  于某公司创业板	=总数=6=首发6|
  某地交易所创业板	=总数=10=首发10|
  在某地证券交易所创业板	=总数=9=首发9|
其所	=总数=11=回购1|股份减持8|股权激励1|关联交易2|兼并收购2|
 拟其所	=总数=6=股份减持6|
 公司其所	=总数=7=股份减持5|关联交易2|兼并收购2|
空调	=总数=8=未分类1|关联交易3|兼并收购4|
 某地空调	=总数=5=关联交易1|兼并收购4|
辞任	=总数=19=未分类1|高管变动17|
 辞任公告	=总数=8=高管变动8|
 董事辞任	=总数=10=高管变动10|
 公司辞任	=总数=11=高管变动11|
抵押	=总数=19=未分类1|质押1|担保事项17|
 抵押担保	=总数=8=担保事项8|
 公司抵押	=总数=12=质押1|担保事项11|
 资产抵押	=总数=7=担保事项7|
 提供抵押	=总数=8=担保事项8|
阳光	=总数=6=关联交易2|资产重组1|业绩发布1|兼并收购1|担保事项1|
 某地阳光	=总数=5=关联交易2|资产重组1|业绩发布1|兼并收购1|
信贷	=总数=7=合同签订1|担保事项7|
 申请信贷	=总数=6=担保事项6|
数量	=总数=73=回购2|未分类2|股权激励59|增发8|关联交易2|
 数量及	=总数=14=回购2|未分类1|股权激励11|
  股票数量及	=总数=9=股权激励9|
  调整股票授予数量及	=总数=5=回购2|股权激励3|
  调整股票激励计划数量及	=总数=5=股权激励5|
  股票期权激励计划期权数量及行权	=总数=5=股权激励5|
 年数量	=总数=5=股权激励2|增发1|关联交易2|
 期权数量	=总数=38=回购2|股权激励36|
  激励期权数量	=总数=20=股权激励20|
  激励及期权数量	=总数=7=股权激励7|
  激励对象期权数量	=总数=15=股权激励15|
  激励计划期权数量	=总数=23=股权激励23|
  激励对象及期权数量	=总数=13=股权激励13|
  激励计划对象及期权数量	=总数=8=股权激励8|
  激励计划对象期权数量调整	=总数=6=股权激励6|
  股票期权激励计划及期权数量	=总数=8=股权激励8|
  股票期权激励计划对象期权数量	=总数=10=股权激励10|
  股票期权激励计划授予期权数量	=总数=6=股权激励6|
  股票期权激励对象人数及授予期权数量	=总数=5=股权激励5|
 激励数量	=总数=33=股权激励33|
 授予数量	=总数=32=回购2|未分类1|股权激励29|
  调整授予数量	=总数=5=回购2|股权激励3|
  激励授予数量	=总数=9=股权激励9|
  激励对象及授予数量	=总数=18=股权激励18|
  股票激励对象授予数量	=总数=13=股权激励13|
  股票激励计划授予数量	=总数=6=股权激励6|
  激励对象名单及授予数量	=总数=12=股权激励12|
  股票激励计划对象授予数量	=总数=9=股权激励9|
  股票激励对象名单授予数量	=总数=12=股权激励12|
  调整激励对象名单授予数量	=总数=6=股权激励6|
  股票激励计划授予对象授予数量	=总数=5=股权激励5|
  股票期权激励计划对象及授予数量	=总数=5=股权激励5|
  股票激励计划激励对象名单授予数量	=总数=9=股权激励9|
 调整数量	=总数=17=回购2|股权激励10|增发5|
  调整数量和	=总数=6=回购2|股权激励4|
 股票数量	=总数=66=回购2|未分类1|股权激励55|增发8|
  股票数量及	=总数=9=股权激励9|
  股票数量和	=总数=8=回购2|未分类1|股权激励5|
  调整股票数量	=总数=37=回购2|股权激励30|增发5|
   调整股票数量及	=总数=7=股权激励7|
   公司调整股票数量	=总数=5=股权激励5|
  股票数量调整	=总数=19=股权激励16|增发3|
  股票数量价格	=总数=12=未分类1|股权激励11|
  公司股票数量	=总数=23=股权激励21|增发2|
  激励股票数量	=总数=14=股权激励14|
  限制性股票数量	=总数=22=股权激励22|
  股票数量进行调整	=总数=5=股权激励3|增发2|
  股票期权股票数量	=总数=7=股权激励7|
  激励对象及股票数量	=总数=6=股权激励6|
  非公开发行股票数量	=总数=8=增发8|
 激励及数量	=总数=11=股权激励11|
 数量和价格	=总数=8=回购2|未分类1|股权激励5|
  股票期权数量和价格	=总数=5=回购2|股权激励3|
 股票与数量	=总数=5=股权激励4|增发1|
 股票和数量	=总数=9=股权激励3|增发6|
 激励对象数量	=总数=39=股权激励39|
 激励名单数量	=总数=8=股权激励8|
 激励计划数量	=总数=29=股权激励29|
 数量和行权价格	=总数=6=回购2|股权激励4|
 激励对象及数量	=总数=30=股权激励30|
 激励计划对象数量	=总数=14=股权激励14|
 激励对象名单数量	=总数=18=股权激励18|
 激励计划对象及数量	=总数=6=股权激励6|
 激励对象名单及数量	=总数=14=股权激励14|
 股票激励计划及数量	=总数=6=股权激励6|
 激励计划授予对象数量	=总数=6=股权激励6|
 激励计划授予对象及数量	=总数=5=股权激励5|
 股票期权激励计划名单数量	=总数=5=股权激励5|
 股票期权激励计划人员数量	=总数=5=股权激励5|
 限制性股票激励计划名单数量	=总数=7=股权激励7|
 非公开发行股票发行和发行数量	=总数=6=增发6|
 非公开发行股票发行底价发行数量	=总数=5=增发5|
社会	=总数=27=回购24|未分类2|
 回购社会公众股份	=总数=24=回购24|
 回购部分社会公众股份	=总数=14=回购14|
批文	=总数=15=债券发行3|政府补贴2|增发11|
 发行获得某公司核准批文	=总数=13=债券发行3|增发11|
 非公开发行股票获得某公司核准批文	=总数=10=增发10|
股预	=总数=47=未分类1|预减1|增发45|
 股预案	=总数=45=增发45|
免于	=总数=22=增发4|兼并收购19|股份增持3|
 免于提交豁免要约收购申请	=总数=16=增发4|兼并收购15|
  免于提交豁免要约收购申请之	=总数=7=兼并收购7|
  免于提交豁免要约收购申请事宜	=总数=7=兼并收购7|
拟向	=总数=12=合同签订1|股份减持9|关联交易1|担保事项1|
 拟向某公司	=总数=7=合同签订1|股份减持6|
 某公司拟向转让	=总数=9=股份减持9|
 某公司拟向某人转让	=总数=7=股份减持7|
对高	=总数=6=高管变动4|兼并收购2|
 对高级管理人员	=总数=11=未分类1|高管变动10|
要约	=总数=89=增发6|关联交易1|兼并收购86|股份增持3|
 要约股份	=总数=14=兼并收购13|股份增持1|
 股东要约	=总数=5=增发2|兼并收购4|
 免于要约	=总数=20=增发4|兼并收购18|股份增持3|
  某地免于要约	=总数=5=兼并收购4|股份增持2|
 要约某某	=总数=5=兼并收购5|
 要约公告	=总数=8=兼并收购8|
 部分要约	=总数=8=兼并收购8|
拟其	=总数=22=未分类1|股份减持21|
 拟其所	=总数=6=股份减持6|
 某公司拟其	=总数=10=股份减持10|
对非	=总数=14=未分类2|增发9|关联交易5|兼并收购1|
 对非公开发行	=总数=12=增发9|关联交易5|兼并收购1|
  对非公开发行股票	=总数=11=增发8|关联交易5|
股持	=总数=67=合同签订1|股份减持40|股份增持27|
 控股持有	=总数=14=股份减持3|关联交易1|诉讼仲裁1|兼并收购2|质押7|
 公司控股持	=总数=8=股份减持1|股份增持7|
首期	=总数=98=回购2|股权激励92|政府补贴2|担保事项1|股份增持1|
 首期期	=总数=24=回购1|股权激励23|
  激励计划首期期权某某行	=总数=6=股权激励6|
 首期激励	=总数=82=股权激励82|
 某人首期	=总数=9=股权激励8|担保事项1|
  某人首期激励	=总数=8=股权激励8|
  某人首期限制性股票	=总数=7=股权激励7|
  某人首期股票期权与限制性股票激励	=总数=5=股权激励5|
 首期股票	=总数=83=股权激励83|
 激励计划首期	=总数=11=股权激励11|
 首期限制性股票	=总数=34=股权激励34|
持之	=总数=15=股份减持1|关联交易1|兼并收购2|股份增持12|
 持之专项	=总数=7=关联交易1|兼并收购1|股份增持6|
 某公司持之	=总数=5=兼并收购1|股份增持4|
 持之法律意见书	=总数=7=股份减持1|兼并收购1|股份增持5|
信用	=总数=12=债券发行5|合同签订1|获得奖项1|担保事项3|股份增持2|
 公司信用	=总数=10=债券发行4|合同签订1|担保事项3|股份增持2|
  某公司信用	=总数=5=债券发行3|担保事项2|
 债券信用评级报告	=总数=5=债券发行5|
服务	=总数=62=未分类6|合同签订31|关联交易30|业绩发布3|兼并收购2|
 和服务	=总数=6=合同签订5|关联交易1|
 与服务	=总数=29=未分类1|合同签订16|关联交易22|
 有限服务	=总数=10=未分类1|合同签订3|关联交易7|业绩发布2|
 某地服务	=总数=8=未分类1|合同签订3|关联交易2|兼并收购2|
 签订服务	=总数=15=合同签订10|关联交易9|
 签署服务	=总数=20=合同签订14|关联交易13|
 服务协议	=总数=38=未分类1|合同签订26|关联交易21|
  签订服务协议	=总数=14=合同签订9|关联交易8|
  签署服务协议	=总数=19=合同签订13|关联交易13|
 金融服务	=总数=35=未分类2|合同签订18|关联交易24|
  金融服务关联交易	=总数=5=合同签订3|关联交易5|
承包	=总数=12=未分类2|合同签订6|关联交易4|
 工程承包	=总数=6=未分类1|合同签订5|
 某公司承包	=总数=5=合同签订3|关联交易2|
激励	=总数=963=回购22|未分类1|股权激励952|
 与激励	=总数=99=股权激励99|
 激励获	=总数=27=回购8|股权激励24|
  激励获得	=总数=20=股权激励20|
 已激励	=总数=23=回购11|股权激励21|
 激励行	=总数=103=回购1|股权激励102|
  股权激励行	=总数=32=股权激励32|
 对激励	=总数=36=股权激励36|
 激励及	=总数=50=股权激励50|
 激励之	=总数=57=回购1|股权激励57|
  激励之法律	=总数=7=股权激励7|
  公司激励之	=总数=12=股权激励12|
  公司股票激励之	=总数=17=股权激励17|
 及激励	=总数=11=回购3|股权激励11|
  激励计划及激励对象	=总数=5=股权激励5|
 激励权	=总数=5=回购1|股权激励5|
 激励所	=总数=13=回购2|股权激励13|
 激励已	=总数=36=回购9|股权激励32|
 期权激励	=总数=412=股权激励412|
 激励摘要	=总数=73=股权激励73|
 终止激励	=总数=6=回购1|股权激励6|
