保证	=总数=10=回购1|未分类3|合同签订1|担保事项7|
 保证担保	=总数=6=回购1|合同签订1|担保事项6|
复审	=总数=10=未分类6|政府补贴3|
 企业复审	=总数=9=未分类5|政府补贴3|
  通过高新技术企业复审	=总数=7=未分类5|政府补贴1|
奖励	=总数=25=获得奖项3|股权激励1|政府补贴21|增发1|
 奖励资金	=总数=14=获得奖项3|政府补贴11|
  政府奖励资金	=总数=5=获得奖项1|政府补贴4|
  获得奖励资金	=总数=6=获得奖项2|政府补贴4|
  收到奖励资金	=总数=8=获得奖项1|政府补贴7|
 获得奖励	=总数=10=获得奖项2|政府补贴8|
 政府奖励	=总数=13=获得奖项1|政府补贴12|
  收到政府奖励	=总数=8=获得奖项1|政府补贴7|
 奖励补助	=总数=5=政府补贴5|
 收到奖励	=总数=13=获得奖项1|政府补贴12|
股书	=总数=16=债券发行1|首发5|增发8|兼并收购2|
 公开发行股书	=总数=9=债券发行1|增发8|
授信	=总数=111=未分类15|合同签订4|关联交易5|担保事项91|
 及授信	=总数=6=未分类1|担保事项5|
 向授信	=总数=29=未分类10|合同签订2|关联交易1|担保事项16|
 授信及	=总数=8=关联交易1|担保事项7|
  授信及担保	=总数=7=担保事项7|
   授信及担保事项	=总数=5=担保事项5|
   银行授信及担保	=总数=5=担保事项5|
 与授信	=总数=7=合同签订2|担保事项5|
 综合授信	=总数=35=未分类7|合同签订4|关联交易1|担保事项24|
  申请综合授信	=总数=18=未分类7|合同签订2|担保事项9|
   向申请综合授信	=总数=12=未分类6|合同签订2|担保事项4|
    向申请综合授信额度	=总数=8=未分类5|合同签订2|担保事项1|
   公司申请综合授信	=总数=7=未分类1|担保事项6|
    子公司申请综合授信	=总数=5=担保事项5|
   申请综合授信额度	=总数=9=未分类5|合同签订2|担保事项2|
    向银行申请综合授信额度	=总数=7=未分类5|合同签订1|担保事项1|
   向银行申请综合授信	=总数=12=未分类7|合同签订1|担保事项4|
    公司向银行申请综合授信	=总数=5=未分类2|担保事项3|
   申请综合授信提供担保	=总数=6=担保事项6|
  综合授信额度	=总数=15=未分类5|合同签订2|担保事项8|
   银行综合授信额度	=总数=10=未分类5|合同签订1|担保事项4|
    公司银行综合授信额度	=总数=5=未分类1|担保事项4|
   综合授信额度提供担保	=总数=7=担保事项7|
  综合授信担保	=总数=21=关联交易1|担保事项21|
   公司综合授信担保	=总数=16=关联交易1|担保事项16|
    子公司综合授信担保	=总数=13=关联交易1|担保事项13|
     为子公司综合授信担保	=总数=11=关联交易1|担保事项11|
     为控股子公司综合授信担保	=总数=5=关联交易1|担保事项5|
  银行综合授信	=总数=21=未分类7|合同签订1|担保事项13|
   向银行综合授信	=总数=13=未分类7|合同签订1|担保事项5|
   公司银行综合授信	=总数=12=未分类2|担保事项10|
    子公司银行综合授信提供担保	=总数=7=担保事项7|
     为子公司银行综合授信提供担保	=总数=5=担保事项5|
   银行综合授信提供担保	=总数=11=担保事项11|
    为银行综合授信提供担保	=总数=7=担保事项7|
  公司综合授信	=总数=21=未分类2|合同签订1|关联交易1|担保事项18|
   子公司综合授信	=总数=14=关联交易1|担保事项14|
    控股子公司综合授信	=总数=6=关联交易1|担保事项6|
    子公司综合授信提供担保	=总数=10=担保事项10|
     为子公司综合授信提供担保	=总数=8=担保事项8|
   某公司综合授信	=总数=5=合同签订1|担保事项4|
   公司综合授信提供担保	=总数=13=担保事项13|
  综合授信提供担保	=总数=18=担保事项18|
   为综合授信提供担保	=总数=5=担保事项5|
 某地授信	=总数=7=合同签订2|关联交易3|担保事项5|
  某公司某地授信	=总数=5=合同签订1|关联交易3|担保事项4|
 授信额度	=总数=38=未分类10|合同签订2|关联交易1|担保事项25|
  授信额度担保	=总数=12=担保事项12|
  银行授信额度	=总数=26=未分类10|合同签订1|担保事项15|
   公司银行授信额度	=总数=15=未分类3|担保事项12|
    子公司银行授信额度	=总数=8=未分类1|担保事项7|
     子公司银行授信额度提供担保	=总数=5=担保事项5|
   申请银行授信额度	=总数=5=未分类1|担保事项4|
   银行授信额度提供担保	=总数=6=担保事项6|
  万元授信额度	=总数=5=关联交易1|担保事项4|
  公司授信额度	=总数=24=未分类4|关联交易1|担保事项19|
   某公司授信额度	=总数=9=关联交易1|担保事项8|
    公司某公司授信额度	=总数=8=担保事项8|
     子公司某公司授信额度	=总数=7=担保事项7|
      公司子公司某公司授信额度	=总数=6=担保事项6|
   子公司授信额度	=总数=15=未分类1|担保事项14|
    公司子公司授信额度	=总数=7=担保事项7|
  申请授信额度	=总数=26=未分类10|合同签订2|关联交易1|担保事项13|
   向申请授信额度	=总数=22=未分类9|合同签订2|关联交易1|担保事项10|
    公司向申请授信额度	=总数=11=未分类4|担保事项7|
     子公司向申请授信额度	=总数=5=未分类1|担保事项4|
   公司申请授信额度	=总数=9=关联交易1|担保事项8|
    子公司申请授信额度	=总数=5=担保事项5|
   向银行申请授信额度	=总数=19=未分类9|合同签订1|担保事项9|
    公司向银行申请授信额度	=总数=10=未分类4|担保事项6|
  授信额度提供担保	=总数=10=担保事项10|
 下属授信	=总数=6=担保事项6|
 公司授信	=总数=85=未分类5|合同签订1|关联交易5|担保事项78|
  子公司授信	=总数=66=未分类1|关联交易4|担保事项65|
   全资子公司授信	=总数=33=未分类1|关联交易3|担保事项32|
    全资子公司授信担保	=总数=23=担保事项23|
     为全资子公司授信担保	=总数=16=担保事项16|
    全资子公司授信提供担保	=总数=25=担保事项25|
     为全资子公司授信提供担保	=总数=16=担保事项16|
   子公司授信担保	=总数=57=关联交易4|担保事项57|
    为子公司授信担保	=总数=41=关联交易1|担保事项41|
    公司子公司授信担保	=总数=11=担保事项11|
    为控股子公司授信担保	=总数=18=关联交易1|担保事项18|
   公司子公司授信	=总数=21=担保事项21|
   控股子公司授信	=总数=19=关联交易1|担保事项19|
    为控股子公司授信提供担保	=总数=13=担保事项13|
   公司和子公司授信	=总数=6=担保事项6|
   子公司授信提供担保	=总数=44=担保事项44|
    为子公司授信提供担保	=总数=35=担保事项35|
  某公司授信	=总数=29=合同签订1|关联交易4|担保事项27|
   某公司授信担保	=总数=22=关联交易3|担保事项22|
    为某公司授信担保	=总数=13=担保事项13|
    公司某公司授信担保	=总数=17=关联交易3|担保事项17|
     子公司某公司授信担保	=总数=14=关联交易3|担保事项14|
      为子公司某公司授信担保	=总数=8=担保事项8|
      全资子公司某公司授信担保	=总数=8=关联交易3|担保事项8|
   公司某公司授信	=总数=24=关联交易3|担保事项24|
    子公司某公司授信	=总数=20=关联交易3|担保事项20|
     公司子公司某公司授信	=总数=7=担保事项7|
     下属子公司某公司授信	=总数=7=担保事项7|
     子公司某公司授信提供担保	=总数=8=担保事项8|
      为子公司某公司授信提供担保	=总数=6=担保事项6|
   为某公司授信提供担保	=总数=10=担保事项10|
  公司授信担保	=总数=66=关联交易4|担保事项66|
  公司授信提供担保	=总数=53=担保事项53|
 申请授信	=总数=57=未分类15|合同签订2|关联交易1|担保事项39|
  向申请授信	=总数=31=未分类11|合同签订2|关联交易1|担保事项17|
   向申请授信担保	=总数=8=担保事项8|
   向申请授信提供担保	=总数=7=担保事项7|
    为向申请授信提供担保	=总数=5=担保事项5|
  公司申请授信	=总数=36=未分类3|关联交易1|担保事项32|
   子公司申请授信	=总数=24=未分类1|担保事项23|
    全资子公司申请授信	=总数=11=未分类1|担保事项10|
     全资子公司申请授信提供担保	=总数=6=担保事项6|
    子公司申请授信担保	=总数=13=担保事项13|
    控股子公司申请授信	=总数=5=担保事项5|
    子公司申请授信提供担保	=总数=19=担保事项19|
     为子公司申请授信提供担保	=总数=12=担保事项12|
   某公司申请授信	=总数=11=关联交易1|担保事项10|
    向某公司申请授信	=总数=5=关联交易1|担保事项4|
    某公司申请授信担保	=总数=8=担保事项8|
    某公司申请授信提供担保	=总数=9=担保事项9|
     为某公司申请授信提供担保	=总数=7=担保事项7|
     子公司某公司申请授信提供担保	=总数=5=担保事项5|
   公司申请授信担保	=总数=20=担保事项20|
  申请授信担保	=总数=25=担保事项25|
  向银行申请授信	=总数=25=未分类11|合同签订1|担保事项13|
   公司向银行申请授信	=总数=13=未分类5|担保事项8|
    子公司向银行申请授信	=总数=6=未分类1|担保事项5|
  申请授信提供担保	=总数=27=担保事项27|
   为申请授信提供担保	=总数=21=担保事项21|
 授信担保	=总数=75=关联交易4|担保事项75|
  为授信担保	=总数=43=关联交易4|担保事项43|
  银行授信担保	=总数=55=关联交易3|担保事项55|
   为银行授信担保	=总数=16=关联交易3|担保事项16|
   银行授信担保事项	=总数=5=担保事项5|
   公司银行授信担保	=总数=49=关联交易3|担保事项49|
    子公司银行授信担保	=总数=45=关联交易3|担保事项45|
     为子公司银行授信担保	=总数=32=担保事项32|
     公司子公司银行授信担保	=总数=7=担保事项7|
     全资子公司银行授信担保	=总数=25=关联交易3|担保事项25|
      为全资子公司银行授信担保	=总数=15=担保事项15|
     为控股子公司银行授信担保	=总数=11=担保事项11|
    某公司银行授信担保	=总数=11=关联交易3|担保事项11|
     子公司某公司银行授信担保	=总数=9=关联交易3|担保事项9|
      为子公司某公司银行授信担保	=总数=5=担保事项5|
      全资子公司某公司银行授信担保	=总数=5=关联交易3|担保事项5|
    为公司银行授信担保	=总数=7=关联交易3|担保事项7|
   申请银行授信担保	=总数=16=担保事项16|
    公司申请银行授信担保	=总数=14=担保事项14|
     子公司申请银行授信担保	=总数=12=担保事项12|
  为提供授信担保	=总数=7=关联交易4|担保事项7|
  某公司提供授信担保	=总数=6=关联交易3|担保事项6|
   子公司某公司提供授信担保	=总数=5=关联交易3|担保事项5|
 银行授信	=总数=80=未分类15|合同签订1|关联交易3|担保事项64|
  向银行授信	=总数=14=未分类4|担保事项10|
  申请银行授信	=总数=24=未分类4|担保事项20|
   公司申请银行授信	=总数=18=担保事项18|
    子公司申请银行授信提供担保	=总数=14=担保事项14|
     为子公司申请银行授信提供担保	=总数=12=担保事项12|
     全资子公司申请银行授信提供担保	=总数=10=担保事项10|
      为全资子公司申请银行授信提供担保	=总数=8=担保事项8|
   申请银行授信提供担保	=总数=18=担保事项18|
    为申请银行授信提供担保	=总数=14=担保事项14|
  公司银行授信	=总数=59=未分类5|关联交易3|担保事项54|
   子公司银行授信	=总数=47=未分类1|关联交易3|担保事项46|
    公司子公司银行授信	=总数=10=担保事项10|
     公司子公司银行授信提供担保	=总数=8=担保事项8|
