补助资金	=总数=49=政府补贴49|
公司监事	=总数=32=未分类1|高管变动29|违规违纪1|股份增持2|
增资涉及	=总数=11=未分类2|股份减持1|增发3|关联交易4|股份增持1|
 拟增资涉及	=总数=5=增发2|关联交易2|股份增持1|
公司政府	=总数=15=获得奖项1|政府补贴14|
 公司获得政府	=总数=5=政府补贴5|
 公司收到政府	=总数=32=政府补贴32|
股份核查	=总数=32=首发1|未分类4|关联交易1|增发16|股份增持12|
 股份之核查	=总数=23=未分类4|关联交易1|增发15|股份增持5|
  公司股份之核查	=总数=15=未分类1|增发13|股份增持1|
   公司发行股份购买资产之核查	=总数=9=增发9|
 发行股份核查	=总数=15=首发1|增发14|
  公司发行股份情况核查	=总数=6=增发6|
 股份专项核查	=总数=12=增发1|股份增持11|
 股份核查意见	=总数=17=首发1|关联交易1|增发13|股份增持4|
 公司股份核查	=总数=20=首发1|未分类1|增发13|股份增持5|
相关协议	=总数=9=合同签订9|关联交易2|增发2|资产重组1|担保事项1|
 签署相关协议	=总数=5=合同签订5|关联交易2|资产重组1|
获得备案	=总数=24=未分类1|股权激励22|资产重组1|
董事提名	=总数=538=高管变动538|
国家补助	=总数=7=政府补贴7|
债券发行	=总数=36=债券发行36|
监局措施	=总数=29=违规违纪29|
控股公司	=总数=241=未分类32|高管变动1|交易异动1|诉讼仲裁5|资产重组3|质押19|回购2|合同签订4|股份减持29|配股1|关联交易27|增发3|兼并收购12|股份增持87|担保事项24|
 控股为公司	=总数=12=未分类1|关联交易7|担保事项6|
  公司控股为公司	=总数=6=关联交易3|担保事项5|
 控股拟公司	=总数=12=股份减持8|增发1|兼并收购1|担保事项1|股份增持1|
 控股本公司	=总数=32=回购1|未分类4|股份减持1|配股1|诉讼仲裁1|质押7|担保事项1|股份增持17|
  控股股东本公司	=总数=31=回购1|未分类4|股份减持1|配股1|诉讼仲裁1|质押7|股份增持17|
   控股股东持本公司	=总数=21=诉讼仲裁1|质押3|股份增持17|
   控股股东本公司部分	=总数=5=回购1|质押5|
 控股公司公告	=总数=9=未分类1|诉讼仲裁1|质押3|兼并收购2|股份增持1|担保事项2|
 控股公司担保	=总数=20=关联交易1|担保事项20|
  为控股公司提供担保	=总数=10=担保事项10|
 控股公司股权	=总数=21=回购1|股份减持6|增发1|诉讼仲裁1|资产重组1|质押4|兼并收购5|股份增持3|
  控股有限公司股权	=总数=8=回购1|股份减持4|增发1|兼并收购2|股份增持1|
  控股股东公司股权	=总数=8=回购1|股份减持1|诉讼仲裁1|兼并收购1|质押4|
 控股资金公司	=总数=5=兼并收购1|担保事项4|
 控股有限公司	=总数=34=回购1|未分类5|合同签订2|股份减持7|增发1|诉讼仲裁1|资产重组1|兼并收购5|担保事项8|股份增持4|
  控股子公司有限公司	=总数=30=未分类3|合同签订2|股份减持7|增发1|诉讼仲裁1|资产重组1|兼并收购4|担保事项8|股份增持4|
   控股子公司新有限公司	=总数=5=股份减持3|担保事项2|
   控股子公司中有限公司	=总数=6=股份减持2|增发1|兼并收购1|股份增持2|
 控股公司提供	=总数=28=关联交易14|担保事项16|
  控股股东向公司提供	=总数=6=关联交易6|
  控股公司提供委托贷款	=总数=6=关联交易6|
 控股公司收购	=总数=7=兼并收购7|
 公司控股公司	=总数=34=回购1|未分类6|股份减持2|诉讼仲裁1|关联交易10|资产重组1|兼并收购2|质押4|股份增持5|担保事项6|
  公司控股公司部分	=总数=8=关联交易4|质押4|
  公司控股子公司公司	=总数=6=未分类1|股份减持1|关联交易1|兼并收购1|担保事项2|股份增持1|
  公司控股股东持公司	=总数=8=诉讼仲裁1|质押4|股份增持3|
  公司控股股东公司股份	=总数=7=质押3|股份增持4|
 控股股东公司	=总数=177=未分类21|高管变动1|交易异动1|诉讼仲裁4|质押19|回购2|股份减持22|配股1|关联交易18|增发2|兼并收购1|股份增持83|担保事项8|
  控股股东持公司	=总数=111=未分类1|股份减持19|诉讼仲裁2|质押10|股份增持79|
   控股股东减持公司股份	=总数=19=股份减持19|
   控股股东所持公司部分	=总数=8=诉讼仲裁1|质押7|
  控股股东向公司	=总数=7=股份减持1|关联交易6|
  控股股东公司部分	=总数=13=回购1|股份减持1|诉讼仲裁1|质押11|
  控股股东公司股份	=总数=118=回购1|未分类1|股份减持20|配股1|诉讼仲裁1|增发1|质押14|股份增持80|
