平安银行股份有限公司	平安银行
万科企业股份有限公司	万科Ａ
万科企业股份有限公司	万科Ａ
深圳中国农大科技股份有限公司	国农科技
深圳世纪星源股份有限公司	世纪星源
深圳市振业(集团)股份有限公司	深振业Ａ
深圳市零七股份有限公司	零七股份
广东宝利来投资股份有限公司	宝利来
中国宝安集团股份有限公司	中国宝安
北京深华新股份有限公司	深华新
深圳市物业发展(集团)股份有限公司	深物业Ａ
深圳市物业发展(集团)股份有限公司	深物业Ａ
中国南玻集团股份有限公司	南玻Ａ
中国南玻集团股份有限公司	南玻Ａ
沙河实业股份有限公司	沙河股份
康佳集团股份有限公司	深康佳Ａ
康佳集团股份有限公司	深康佳Ａ
深圳中华自行车(集团)股份有限公司	深中华
深圳中华自行车(集团)股份有限公司	深中华
深圳中冠纺织印染股份有限公司	深中冠Ａ
深圳中冠纺织印染股份有限公司	深中冠Ａ
深圳市深宝实业股份有限公司	深深宝Ａ
深圳市深宝实业股份有限公司	深深宝Ａ
深圳中恒华发股份有限公司	深华发
深圳中恒华发股份有限公司	深华发
深圳长城开发科技股份有限公司	长城开发
深圳赤湾港航股份有限公司	深赤湾Ａ
深圳赤湾港航股份有限公司	深赤湾Ａ
深圳市天地(集团)股份有限公司	深天地Ａ
招商局地产控股股份有限公司	招商地产
招商局地产控股股份有限公司	招商地产
深圳市特力(集团)股份有限公司	深特力
深圳市特力(集团)股份有限公司	深特力
飞亚达(集团)股份有限公司	飞亚达Ａ
飞亚达(集团)股份有限公司	飞亚达Ａ
深圳能源集团股份有限公司	深圳能源
国药集团一致药业股份有限公司	国药一致
国药集团一致药业股份有限公司	国药一致
深圳经济特区房地产(集团)股份有限公司	深深房Ａ
深圳经济特区房地产(集团)股份有限公司	深深房Ａ
富奥汽车零部件股份有限公司	NULL
富奥汽车零部件股份有限公司	NULL
中粮地产(集团)股份有限公司	中粮地产
深圳市桑达实业股份有限公司	深桑达Ａ
深圳新都酒店股份有限公司	新都酒店
深圳市深信泰丰(集团)股份有限公司	深信泰丰
中国科健股份有限公司	中科健
华联控股股份有限公司	华联控股
深圳南山热电股份有限公司	深南电Ａ
深圳南山热电股份有限公司	深南电Ａ
深圳大通实业股份有限公司	深大通Ａ
中国国际海运集装箱(集团)股份有限公司	中集集团
中国国际海运集装箱(集团)股份有限公司	中集集团
宝安鸿基地产集团股份有限公司	宝安地产
深圳市长城投资控股股份有限公司	深长城
中航地产股份有限公司	中航地产
深圳市纺织(集团)股份有限公司	深纺织Ａ
深圳市纺织(集团)股份有限公司	深纺织Ａ
泛海建设集团股份有限公司	泛海建设
深圳市康达尔(集团)股份有限公司	康达尔
深圳市德赛电池科技股份有限公司	德赛电池
天马微电子股份有限公司	深天马Ａ
方大集团股份有限公司	方大集团
方大集团股份有限公司	方大集团
深圳市国际企业股份有限公司	深国商Ａ
深圳市国际企业股份有限公司	深国商Ａ
深圳赛格股份有限公司	深赛格
深圳赛格股份有限公司	深赛格
辽宁华锦通达化工股份有限公司	辽通化工
深圳市中金岭南有色金属股份有限公司	中金岭南
